,Streptococcus_lung,Fusobacterium_lung,Lactobacillus_lung,Prevotella_lung,Veillonella_lung,Pseudomonas_lung,Haemophilus_lung,Gemella_lung,Staphylococcus_lung,Neisseria_lung,Moraxella_lung,Porphyromonas_lung,Saccharibacteria_genera_incertae_sedis_lung,Oribacterium_lung,Granulicatella_lung,Capnocytophaga_lung,Leptotrichia_lung,Campylobacter_lung,Tannerella_lung,Candida_lung,Saccharomyces_lung,Debaryomyces_lung,Hanseniaspora_lung,Lodderomyces_lung,Curvularia_lung,Cryptococcus_lung,Bullera_lung,Aureobasidium_lung,Bacteroides_gut,Streptococcus_gut,Lactobacillus_gut,Blautia_gut,Anaerostipes_gut,Ruminococcus_gut,Clostridium_XVIII_gut,Lachnospiracea_incertae_sedis_gut,Alistipes_gut,Faecalibacterium_gut,Parabacteroides_gut,Ruminococcus2_gut,Coprococcus_gut,Eubacterium_gut,Erysipelotrichaceae_incertae_sedis_gut,Clostridium_XlVa_gut,Clostridium_XlVb_gut,Clostridium_IV_gut,Gemmiger_gut,Romboutsia_gut,Odoribacter_gut,Dorea_gut,Alkaliphilus_gut,Roseburia_gut,Fusicatenibacter_gut,Clostridium_sensu_stricto_gut,Anaerobranca_gut,Candida_gut,Saccharomyces_gut,Debaryomyces_gut,Curvularia_gut
106,0.005028169867329011,0.23603622705518865,4.5435269885503114e-05,9.087053977100623e-05,4.5435269885503114e-05,0.005936875265039073,3.029017992366874e-05,0.00045435269885503107,4.5435269885503114e-05,0.0001968861695038468,3.029017992366874e-05,0.001999151874962137,0.0,0.0,4.5435269885503114e-05,0.0,1.514508996183437e-05,0.0,0.0,0.24776192923841336,0.0020667352008909446,3.0340672206516457e-05,5.354236271738199e-06,4.640338102173105e-05,8.74525257717239e-05,1.7847454239127326e-06,0.0,0.0,0.15988625449112448,0.01256403187364377,0.0045689409839564585,0.0015818985450535377,6.225321048699798e-05,0.013426683504677885,0.042222128348333395,0.001876489630393796,4.557824339226637e-05,0.0002534594998399203,4.335491444630216e-05,0.0002156629077585287,7.003486179787272e-05,0.0003679609405570773,0.004526697733983139,0.0043721763722386255,9.671480914944327e-05,0.002241115577531927,0.00026457614456974136,0.00024123119063711713,6.66998683789264e-06,0.00011450144071715699,2.1121624986660027e-05,0.00027680445377254457,2.000996051367792e-05,0.0006336487495998007,0.0,0.017374386965156655,0.22140521772025346,0.011203507302376481,1.6888012213410433e-05
118,0.0011079331154136287,0.0014379557455368372,0.00037716872014080977,0.00012572290671360327,7.857681669600205e-06,0.036828953985416156,7.857681669600205e-06,7.857681669600203e-05,0.0,5.500377168720142e-05,0.2091950590897662,0.0002042997234096053,3.9288408348001016e-05,6.286145335680164e-05,0.0,0.00039288408348001015,1.571536333920041e-05,0.0,6.286145335680164e-05,0.04334554334554336,0.02793040293040294,0.0038156288156288164,0.0006105006105006107,0.003357753357753359,0.000457875457875458,0.0006105006105006107,0.15460927960927967,0.015262515262515266,0.04890352097007455,0.02242671598620537,0.015188702859049953,0.019044109467126494,0.012786461230392706,0.016471520747580383,0.002103265101791079,0.007881160307041944,0.0072553954833685635,0.00023640004449883195,0.0007196295472243855,0.012723884748025369,0.04518369674046058,0.005510206919568363,0.00019815886082990327,0.00800631327177662,0.0012445767048614978,0.004338636110802093,0.0028124652352875747,0.0007022471910112362,0.0003163588830793193,0.007154577817332297,2.4335298698409174e-05,0.002711647569251308,0.004908777394593394,0.001122900211369452,2.4335298698409174e-05,0.03353520744825094,0.21447618186748627,0.001954713911235651,3.3896773027207826e-05
141,0.11227263367423977,0.0030304070286224162,4.1183334477314825e-05,0.008758322465508953,0.02221840895051135,5.4911112636419766e-05,0.0019562083876724545,0.03899718580547737,0.01934930331525842,0.011744114215114279,5.147916809664354e-05,0.004578214016061499,0.005003775138993752,0.008363648843434686,0.008219507172764085,0.0014620083739446763,0.0026288695174685964,0.0008065069668474154,0.0004633125128697918,0.2065404865649963,0.009418119099491645,0.0002496368917937544,0.0001361655773420479,0.0016339869281045746,0.008873456790123453,2.269426289034131e-05,0.0,0.023125453885257795,0.118059305030629,0.004384386185933968,0.00021496990421341003,0.019663080502063036,0.011572546510155242,0.005247598669519599,0.007540610981129306,0.008389658781103978,0.008251344811726357,0.025608081535251726,0.008119696575812718,0.003014577959085727,5.9991601175835366e-05,0.00464268335766326,0.00176725258463815,0.003636157604602021,0.00494097493017644,0.0007707254317728849,0.004336059618320101,0.0010298558201851738,0.0012406596409835953,0.0030662373934315854,0.0007473953646489489,0.000825717732850734,0.002540477666460028,0.0003232880730031128,6.665733463981707e-06,0.2445436507936507,0.00486111111111111,0.0,0.0005952380952380952
183,0.034687034277198214,0.031151680741844677,2.4838549428713363e-05,0.03485262460672297,0.0006416625269084285,0.06585941381023348,0.00011177347242921013,0.0038002980625931448,4.139758238118894e-05,0.001097035933101507,8.693492300049677e-05,0.05497184964398079,0.010784070210299718,0.0058287795992714025,0.0001987083954297069,0.002152674283821825,0.0023513826792515317,0.0004181155820500083,0.0009397251200529889,0.13306625080662507,0.0008872875887287588,0.07381963863196386,0.040828672832867285,0.0009410625941062594,0.0003360937836093784,0.0,2.688750268875027e-05,9.410625941062594e-05,0.13619883690622184,0.006518367224854827,0.012520777161999907,0.0028425721378791697,0.006911477539300349,0.0004604090911033154,0.0015660318504813464,0.0057364195341642775,0.02339326841315894,0.000529844336861356,0.019599967525669677,0.009750844973529148,0.003876623182398913,0.002627856993304306,0.0007744700488396837,0.0032944353525814958,0.007578055898577539,0.00031619742683661564,0.0001303246151150916,0.00011002815866274125,0.0037495032709341926,0.0009827757861138055,2.9910567403463644e-05,0.000264922168430678,0.00011109639321286496,0.0001228469732642257,2.136469100247403e-06,0.20619344583027635,0.020512350207874785,0.0,0.023294203961848864
195,0.021881757420876745,0.008849149793591507,0.0013729850599567524,0.014795680165126794,0.00034401415372518185,7.064576371142126e-05,0.00023958128563003736,0.0009552535875761745,0.17279339492824847,0.00113647532927069,0.00014129152742284253,0.006361190288971889,0.004407681344603892,0.002008796933359544,0.00016893552191861607,0.0049359887949675645,0.008956654216630626,0.0003808728130528799,0.00019965107135836447,0.24502844807083662,0.000557984669142533,5.488373794844588e-05,4.573644829037156e-06,0.004312947073782039,1.8294579316148626e-05,2.2868224145185782e-05,0.0,0.0,0.14312983746804048,0.0005834569913822532,0.0004249656892455814,0.0026212023045680327,0.01109961613754955,0.002690868811001735,0.0029643098487540146,0.005015988463226534,0.009154178945388426,0.00043367400254979414,0.034676503577375103,0.00482788889585554,0.0012452888025024208,0.001010164343288677,0.0010275809698971025,0.018351899457297916,7.314983175538696e-05,0.0010658975484356386,0.0005329487742178193,0.0016807044677130576,0.0006060986059732063,0.0009944893793410942,0.0003413658815251392,0.0007750398840749333,0.0006513818351551125,0.0014508049964818415,0.002570694087403599,0.04735342266416055,0.19655308312617475,0.006002546534893591,9.094767477111502e-05
197,0.026025316741570503,0.013688768942388043,5.3637164344271564e-05,0.06556719889789743,0.003122247566566545,0.09124528557555502,0.0013155220307595025,0.006374353531019221,4.234512974547755e-05,0.014106574222543421,0.00023995573522437279,0.006038415501705099,0.007122450823189324,0.009126786964475261,0.00042345129745477553,0.0016966281984688006,0.0006662300413288468,0.0022838139976060893,0.0008610176381580435,0.1559216287215412,0.005144483362521892,0.0004925569176882663,0.00021891418563922948,0.0023533274956217165,0.0,0.0795205779334501,0.006348511383537655,0.0,0.1935113943214815,0.0017893660531697348,2.8245715125015545e-05,0.011914042639731557,0.0059880916065032964,0.0006990814493441348,0.017756668813341023,0.0012851800381882073,0.0004533437277564995,0.007288806788010261,0.0019588403439198283,0.0013543820402444953,0.0006567128766566114,3.671942966252021e-05,0.001040854602356823,0.000761222022619169,0.0010860477465568477,0.00012710571806256996,0.0008558451682879711,0.0004349840129252394,8.473714537504663e-06,0.0008798540261442342,1.1298286050006218e-05,3.10702866375171e-05,3.10702866375171e-05,9.88600029375544e-06,1.4122857562507772e-06,0.003979591836734696,0.24561224489795927,0.0,0.0004081632653061226
205,0.01180697515951186,0.002976522331660781,2.7875859505668085e-05,0.03367403828284705,0.0114817567986124,0.08342935018274174,0.0009230006814098988,0.0005977823205104379,0.000315926407730905,0.0014774205538004084,0.08869788762931301,0.0006752152635817381,4.336244811992814e-05,0.003224307749488942,0.0004831815647649135,0.000322121043176609,0.007916744099609737,0.0019048503995539858,2.168122405996407e-05,0.237260119335591,0.009510114856026803,1.79182569119676e-05,0.003180490601874249,2.23978211399595e-05,0.0,8.9591284559838e-06,0.0,0.0,0.13671429886856734,0.009049734694582244,0.0002891886603515153,0.013324259619479516,0.04328621908127209,0.0001021512183331223,0.009681345748782818,0.005326250848862237,0.0033566027094531596,0.005434157065411309,0.004907574728651834,0.0021063293470379024,0.0001798436942484548,0.005278772113580645,0.0028472853673415363,0.0017394482107710545,0.0001971086888963064,0.0008114547484490279,0.0007826797573692751,0.0009711559489416557,1.2948745985888742e-05,0.0023825692614035288,1.582624509386402e-05,0.0003122086532153175,0.0002589749197177749,0.0006301723046465855,1.438749553987638e-06,0.007443007825791085,0.2424506634909833,2.1265736645117386e-05,8.506294658046955e-05
207,0.0963837124122282,0.000705747824688667,7.593489252979329e-05,0.003575640086476443,0.0017420357698011402,5.136772141721311e-05,0.00865211099001233,0.022999338919759155,0.0001987707480926942,0.04687416248280299,3.1267308688738413e-05,0.00590952134217156,0.0002948060533509622,0.0018939055548607268,7.14681341456878e-05,0.046577123050259975,0.012576158230449,0.001089889045721739,0.00029703943254301494,0.20279862749303026,0.005940381728500966,0.024678318678962044,2.1445421402530562e-05,0.004916362856530132,0.00013939523911644868,0.0037958395882479097,0.006444349131460434,0.0012652798627493032,0.12246979826556104,0.0005258826794696378,1.4607852207489936e-05,0.04026167532587685,0.003171121250042607,4.382355662246981e-05,0.0003152861434783245,0.00011686281765991949,2.0694457293944077e-05,0.0048924131684918385,1.8259815259362422e-05,0.012089215022715214,3.04330254322707e-05,8.156050815848549e-05,0.05989949797681248,0.005235697695367852,1.7042494242071596e-05,4.74755196743423e-05,0.0006037912245762507,0.0,1.2173210172908282e-06,7.303926103744968e-06,2.4346420345816564e-06,2.5563741363107388e-05,9.373371833139376e-05,9.738568138326626e-06,4.869284069163313e-06,0.13030237890513047,0.10515190599025512,0.014509888220120382,3.5826884494124405e-05
222,0.1791089216110871,0.0007997362100870115,0.0005856529784637192,0.00412663884404898,0.005548938934603727,0.006779302334737591,0.00439731879207843,0.03312138273160362,0.0002780621284302533,0.002197429032639081,3.9371628804283646e-05,0.0006250246072680029,0.00012057561321311867,4.1832355604551375e-05,0.009776467577463683,0.0008981652820977208,0.0013460175597464472,0.00019931887082168595,9.842907201070911e-06,0.03478210507348968,0.21499909907590936,5.1481376612010624e-05,2.5740688306005312e-05,0.00012870344153002657,0.0,0.0,0.0,1.2870344153002656e-05,0.16238610870591946,0.004502764877204032,7.256572732997483e-05,0.008592274086901767,0.01012599378148615,0.001630883973551638,0.0035852389011335026,0.005725312893576828,0.01869858902707809,0.00310556714420655,0.013712462610201516,0.0005177995119647357,0.001680081076826197,0.0005780659634760707,0.001632113901133502,0.0022962747953400513,0.0003050220403022671,0.00685069663098237,0.0006740003148614611,0.00025213515428211596,0.0007674748110831236,0.000999931124055416,8.609493073047863e-06,0.0003160913885390429,0.0009445843828715368,3.320804471032747e-05,6.149637909319901e-06,0.004909003831417626,0.22425766283524912,0.00011973180076628356,0.020713601532567058
224,0.04776607337450056,0.01157827824191791,8.072002260160634e-05,0.04371998224159503,0.0052922064818178155,0.12090850385438111,0.0029815958348468345,0.002557815716188401,4.036001130080317e-05,0.0025124107034749975,0.00014630504096541149,0.0006659401864632523,0.0012763853573879002,0.0006558501836380515,0.0004136901158332325,0.001119990313597288,0.006916696936675144,0.0010745853008838845,0.00029261008193082297,0.22912832297841912,0.01492480400231842,0.0001669327422050036,0.00039487643587579537,0.003471692613268527,0.000389792189920313,0.0015201895406892207,3.3894973036548958e-06,0.0,0.14558853443737144,0.00100960848130953,6.88029483559087e-05,0.0054159886086249,0.010308476523237452,0.008733487292394586,0.007916826209735321,0.010054204757574311,0.01765842626717083,0.004307662853587328,0.0022645144306705604,0.0010111041975781367,0.0012130258938400425,0.0011202914851864264,0.0001899559661130523,0.007358924041545018,8.974297611640265e-05,0.007385846934379939,0.0021957114823146517,0.0003036304025271623,0.0029689967931843214,0.000538457856698416,0.006739697506341839,0.0009976427511606762,0.0008809768822093528,0.00019893026372469255,0.003480531757047816,0.16122296793437738,0.08866517524235648,0.0,0.00011185682326621928
254,0.09005755636891954,0.03490402615182587,0.00024098236986952023,0.022896817635718474,0.0015052666871559885,0.0002863848453521835,0.0031502332988740177,0.011451901315973288,0.00016414741136039785,0.030056438769523058,0.00016763990947444885,0.005207314688050068,0.012157385935011592,0.006957056243189627,0.0011280768908384787,0.015108546841384702,0.01001997708921237,0.003160710793216171,0.001379536755050152,0.022593030124040164,0.06696692262256349,0.15534554046072058,0.00022150029533372705,0.0011813349084465444,0.0016981689308919075,0.0,0.00014766686355581805,0.0018458357944477256,0.16053355221711796,0.004774287593060095,4.9432787503391304e-05,0.011440816307761635,0.029804522065416814,0.0011266077151935695,0.0018876427228039193,0.003920135008989869,0.004114417359875291,0.006667678314410921,0.0010265925404774055,0.001135804512868619,6.322798401596563e-05,0.00018853435233851567,0.0006104374456814137,0.0008254125913356966,1.8393595350099093e-05,0.006666528714701539,0.0009921045491959697,0.00951983519338566,6.897598256287159e-06,0.0006621694326035673,1.9543195059480286e-05,0.0016496755829620122,0.002146302657414688,0.00014944796221955513,0.0,0.1981138593339781,0.05164432776012158,0.00010363410252867208,0.00013817880337156277
259,0.05149533425118555,0.0004079343225740655,4.143082963642853e-05,0.0009497220947427462,0.0003537555453571974,6.692672479730762e-05,0.0018930702156952726,0.011447656927234713,1.593493447554943e-05,0.004570139207587577,0.16831115190454335,0.0004302432308398347,0.00020078017439192284,6.055275100708784e-05,0.008040767936362244,0.001211055020141757,0.0003537555453571974,0.00014022742338483501,9.560960685329661e-06,0.2487458057790663,0.0008021956542984655,0.00010994559728963739,8.144118317750918e-06,0.00020360295794377296,7.329706485975827e-05,4.072059158875459e-06,0.0,5.293676906538097e-05,0.09477380619938562,0.012609606255235965,0.00024155263892767378,0.041315275062831607,0.03277017592851158,0.00783580005585032,0.006891929628595363,0.014554593688913708,0.004262775760960624,0.007925160569673274,0.0006618263055012565,0.010654845015358837,0.00014521083496230101,0.004024015638089918,0.0011924043563250487,0.0012566322256352973,0.00014800335101926833,0.0005166154705389555,0.005068416643395699,0.00020524993018709853,4.18877408545099e-06,0.0003993297961463277,5.585032113934654e-06,0.0014255794470818205,0.0009019826864004466,0.0002094387042725495,0.0,0.07380763116057232,0.17607313195548488,3.974562798092209e-05,7.949125596184418e-05
269,0.015139901268849558,0.015298989548382127,0.00044351883990898243,0.015417100543792672,0.0008195456824405111,0.0006532261174746427,0.00014703613714373874,0.0018054109298468904,0.14439912838906252,0.01040823016699449,3.856685564425935e-05,0.022638744263180233,0.011692988545643879,0.0035915384318716513,0.00028925141733194507,0.006221315901114585,0.00023140113386555604,0.0007641058274518882,0.0,0.23970713073005104,0.006817699490662143,0.00015916808149405782,0.00010611205432937187,0.003050721561969441,0.00013264006791171486,0.0,0.0,2.6528013582342967e-05,0.16033010299120964,0.0004551087642594334,6.446572347860897e-05,0.0028846005819234276,0.045614791323490944,8.94822728882184e-05,0.004305733023384703,0.00115268562279662,0.005447834721431104,0.002743160860261405,0.008525832473790358,0.014143972166202263,4.6184398910048206e-05,0.00010776359745677915,0.0014788629400988352,0.00033387471712055685,2.2130024477731433e-05,0.0005359314623520178,0.0005936619609895781,1.5394799636682738e-05,1.1546099727512052e-05,0.0008524870298813065,1.3470449682097394e-05,0.00014721277152577868,3.752482411441417e-05,4.329787397817019e-05,2.886524931878013e-06,0.19931572246976456,0.039425525143220896,0.007638446849140678,0.0036203055378739675
271,0.1886873189632472,0.00189500808787571,0.0014247827558966258,0.0048621299326637325,0.0016834066884851221,0.00958789451905353,0.0037571004025128843,0.029111650302825115,0.0003244554790655682,0.0010674115035925215,0.0002633261859082872,0.0014341872625362074,0.0001316630929541436,6.58315464770718e-05,0.001321333182861227,0.003216341270736937,0.0008981303840800512,0.00021160139939058797,5.6427039837490125e-05,0.2274264017476334,0.004213044835119109,0.006865702694268178,0.0032117965255383336,0.0038099448663268492,0.00015603869759700406,0.004304067408717362,1.3003224799750338e-05,0.0,0.016216098645132206,0.001259560399579224,0.1407800969683548,0.008083332674222713,0.020928080485316337,0.02973907128676849,1.9773318674713092e-06,0.0029917031154840907,0.01178094326639406,0.001336676342410605,0.0009392326370488718,0.005852902327715076,0.0023668662453631573,0.0015522055159649776,9.886659337356546e-06,0.0006979981492173722,0.0002689171339760981,0.000626814201988405,0.0009550512919886423,0.0005477209272895527,0.0002965997801206964,0.0006090182151811633,0.00010282125710850808,0.0005042196262051839,0.0007513861096390975,0.0007988420744584089,1.9773318674713092e-06,0.15709605637285204,0.09287303745827669,0.0,3.090616887130672e-05
285,0.021361896967417995,0.0513061558539229,3.870910659381982e-05,0.010174965161804068,0.0004313300449025637,0.08618306089495456,0.0006912340463182111,0.004114225043685992,8.847795792873102e-05,0.010368510694773167,3.317923422327413e-05,0.024845716560861777,0.00597779203255989,0.005806365989072973,0.00016589617111637065,0.007382379614678494,0.015887323320577764,0.0009843172819571327,0.004158464022650358,0.1543031470777136,0.07236137871976024,0.00037465210875615507,5.3521729822307865e-05,0.0036394776279169345,0.0003211303789338472,5.3521729822307865e-05,0.013540997645043889,0.005352172982230787,0.08906027481621184,0.0006815878270017833,0.0001042428441296845,0.015812837586441374,0.005839203007325867,0.0045979112941508535,0.036622916746853466,0.009580719243549774,0.00512072925086281,2.4056040953004115e-05,0.003295677610561564,0.006398906893499094,0.0037832133738757807,0.001921275804113262,0.00040734896013753635,0.016696496157448393,5.773449828720988e-05,0.006240137023209268,1.6037360635336077e-06,9.141295562141566e-05,0.00016037360635336078,0.0016053397995971412,0.025407990454562945,0.010578243075067677,0.005731752691069115,0.00014914745390862553,2.886724914360494e-05,0.18368421052631578,0.06343859649122807,0.0027719298245614033,0.00010526315789473683
